2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@5a18cd76
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@294a6b8e
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4f25b795
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration yes_no -> org.hibernate.type.YesNoType@74bada02
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@34a875b3
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@34a875b3
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@34a875b3
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration character -> org.hibernate.type.CharacterType@6dee4f1b
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration char -> org.hibernate.type.CharacterType@6dee4f1b
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6dee4f1b
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@797cf65c
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@797cf65c
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@797cf65c
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration integer -> org.hibernate.type.IntegerType@1941a8ff
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration int -> org.hibernate.type.IntegerType@1941a8ff
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@1941a8ff
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@691939c9
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@691939c9
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@691939c9
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@5adb0db3
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@5adb0db3
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5adb0db3
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@2250b9f2
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@2250b9f2
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@2250b9f2
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@f316aeb
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@f316aeb
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@6187d1f5
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@6187d1f5
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration string -> org.hibernate.type.StringType@63798ca7
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.String -> org.hibernate.type.StringType@63798ca7
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@79c7532f
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@e54303
